BoroCode,BoroName,created_datetime,dataset,geometry,id,location.adminArea1,location.adminArea1Type,location.adminArea3,location.adminArea3Type,location.adminArea4,location.adminArea4Type,location.adminArea5,location.adminArea5Type,location.displayLatLng.lat,location.displayLatLng.lng,location.dragPoint,location.geocodeQuality,location.geocodeQualityCode,location.latLng.lat,location.latLng.lng,location.linkId,location.mapUrl,location.postalCode,location.sideOfStreet,location.street,location.type,location_type,reason,submission_sets.support.length,submission_sets.support.url,submitter,submitter.avatar_url,submitter.id,submitter.name,submitter.username,submitter_name,updated_datetime,url,user_token,visible
1,Manhattan,2014-11-12T17:07:04.880278+00:00,568,POINT (-73.9891760000000005 40.7586599999999990),278303,US,Country,NY,State,New York County,County,New York City,City,40.758589,-73.98957,False,ADDRESS,L1AAA,40.75866,-73.989176,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.758659745513775,-73.98917555809021,0,0|&center=40.758659745513775,-73.98917555809021&zoom=15&rand=-121981689",10036,N,306 West 44th Street,s,suggestion,perfect location and port needs more bikes!,,,,,,,,Joe,2014-11-12T17:07:05.702560+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278303,session:b2c848ff643c1eda80f0ab60333cc571,True
1,Manhattan,2014-11-12T16:52:51.940605+00:00,568,POINT (-73.9682490000000001 40.7916460000000001),278293,US,Country,NY,State,New York County,County,New York City,City,40.791796,-73.967974,False,ADDRESS,L1AAA,40.791646,-73.968249,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.791646088330495,-73.96824896335602,0,0|&center=40.791646088330495,-73.96824896335602&zoom=15&rand=505954231",10025,N,715 Columbus Avenue,s,suggestion,,,,,,,,,Sarah Stevenson,2014-11-12T16:52:52.610299+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278293,session:4ff40d050e8a77239cd5d95a699a0152,True
3,Brooklyn,2014-11-12T16:43:42.011039+00:00,568,POINT (-73.9149529999999970 40.6947329999999994),278289,US,Country,NY,State,Kings County,County,New York City,City,40.694686,-73.914912,False,ADDRESS,L1AAA,40.694733,-73.914953,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.69473261001677,-73.9149534702301,0,0|&center=40.69473261001677,-73.9149534702301&zoom=15&rand=-593718302",11221,N,407 Wilson Avenue,s,suggestion,"Great location because it sits right between Knickerbocker M, Myrtle/Wycoff L,M and the Gates J,Z stops. In addition there are many schools in a 5 block radius that is probably in the most traditional family style home living in Bushwick (not the warehouse section) and it sits along the B60 bus route. All of these transportation features but we lack a simple bike that would better connect everything to everyone in this part of Bushwick.",1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278289/support,,,,,,Evan J.Smith,2014-11-12T16:43:42.823387+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278289,session:31a0dec7d08b8efd6f1b95cdafd7d734,True
3,Brooklyn,2014-11-12T15:11:15.914828+00:00,568,POINT (-73.9578939999999960 40.7084100000000007),278237,US,Country,NY,State,Kings County,County,New York City,City,40.708638,-73.95798,False,ADDRESS,L1AAA,40.70841,-73.957894,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.70841023425242,-73.95789377076653,0,0|&center=40.70841023425242,-73.95789377076653&zoom=15&rand=-273650424",11211,N,295 Broadway,s,suggestion,Close to the J-Train station,,,,,,,,V,2014-11-12T15:11:16.799777+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278237,session:45224de2d053554ad1e48f941702070e,True
1,Manhattan,2014-11-12T14:41:55.978023+00:00,568,POINT (-73.9394149999999968 40.8393129999999971),278222,US,Country,NY,State,New York County,County,New York City,City,40.839744,-73.939361,False,ADDRESS,L1AAA,40.839313,-73.939415,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.83931326239585,-73.93941521644591,0,0|&center=40.83931326239585,-73.93941521644591&zoom=15&rand=-484669012",10032,N,West 167th Street,s,suggestion,A lot of people commute within upper Manhattan and this would be a faster and green way to do so. ,,,,http://pbs.twimg.com/profile_images/518225352447913984/CyraMfC4_bigger.jpeg,1809,Joeden,Joeden1,,2014-11-12T14:41:59.465133+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278222,user:1809,True
3,Brooklyn,2014-11-12T03:28:00.812641+00:00,568,POINT (-73.9917180000000059 40.6767329999999987),278213,US,Country,NY,State,Kings County,County,New York City,City,40.677018,-73.991562,False,ADDRESS,L1AAA,40.676733,-73.991718,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.676732504671655,-73.99171829223633,0,0|&center=40.676732504671655,-73.99171829223633&zoom=15&rand=-1645077905",11231,N,123 3rd Street,s,suggestion,It is 2 blocks from the Carroll st subway station and 2 blocks from whole foods market.,,,,,,,,Melking520,2014-11-12T03:28:01.547637+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278213,session:34f4bf5e445b961a39cac83d67fe0dd8,True
1,Manhattan,2014-11-11T23:19:56.192421+00:00,568,POINT (-74.0031550000000067 40.7513330000000025),278189,US,Country,NY,State,New York County,County,New York City,City,40.75131,-74.003283,False,ADDRESS,L1AAA,40.751333,-74.003155,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.75133309296269,-74.00315523147583,0,0|&center=40.75133309296269,-74.00315523147583&zoom=15&rand=877591380",10001,N,526 West 28th Street,s,suggestion,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278189/support,,,,,,Brendan,2014-11-11T23:19:56.722245+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278189,session:d1bee4a8dc65d6d679697446effec354,True
3,Brooklyn,2014-11-11T20:43:58.100014+00:00,568,POINT (-73.9860319999999945 40.6771559999999965),278159,US,Country,NY,State,Kings County,County,New York City,City,40.67716,-73.985979,False,ADDRESS,L1AAA,40.677156,-73.986032,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.67715561378167,-73.98603200912476,0,0|&center=40.67715561378167,-73.98603200912476&zoom=15&rand=1649065254",11215,N,287 3rd Avenue,s,suggestion,"there are bike shops, restaurants, robot shop, and gym in this location",,,,,,,,EVONNE CHO,2014-11-11T20:43:59.128212+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278159,session:a631de6fe85b621820a27cb5834754a5,True
1,Manhattan,2014-11-11T19:46:44.426096+00:00,568,POINT (-73.9726339999999993 40.7932300000000012),278135,US,Country,NY,State,New York County,County,New York City,City,40.793131,-73.97256,False,ADDRESS,L1AAA,40.79323,-73.972634,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.79322999553023,-73.97263437509537,0,0|&center=40.79322999553023,-73.97263437509537&zoom=15&rand=491055908",10025,N,2518 Broadway,s,suggestion,Right next to the train. It's a popular area with lots of families who would love the bike share program.,,,,,,,,Alliana ,2014-11-11T19:46:45.366198+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278135,session:3178f32ccb5903f7479cb354653aeed5,True
1,Manhattan,2014-11-11T17:32:56.401977+00:00,568,POINT (-73.9723419999999976 40.7862480000000005),278120,US,Country,NY,State,New York County,County,New York City,City,40.78619,-73.972167,False,ADDRESS,L1AAA,40.786248,-73.972342,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.78624833618555,-73.97234201431274,0,0|&center=40.78624833618555,-73.97234201431274&zoom=15&rand=-414461131",10024,N,529 Columbus Avenue,s,suggestion,,,,,,,,,Greg LeMond,2014-11-11T17:32:57.039527+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278120,session:a4482e09f75a3d56b2865dbbf4716f32,True
